Accession	Gene	Locus_tag	Start	End	Length
CP001363	aroL	STM14_0459	441537	442082	546
CP001363	yaiA	STM14_0460	442109	442300	192
CP001363	aroM	STM14_0461	442551	443228	678
CP001363	yaiE	STM14_0462	443299	443583	285
CP001363	rdgC	STM14_0463	443621	444532	912
CP001363	yajF	STM14_0465	444658	445566	909
CP001363	araJ	STM14_0466	445588	446760	1173
CP001363	sbcC	STM14_0467	446933	450073	3141
CP001363	sbcD	STM14_0468	450070	451272	1203
CP001363	phoB	STM14_0470	451487	452176	690
CP001363	phoR	STM14_0471	452246	453541	1296
CP001363	brnQ	STM14_0473	453950	455269	1320
CP001363	proY	STM14_0474	455344	456714	1371
CP001363	malZ	STM14_0475	456876	458693	1818
CP001363	yajB	STM14_0477	459577	460158	582
CP001363	queA	STM14_0478	460252	461316	1065
CP001363	tgt	STM14_0480	461513	462640	1128
CP001363	yajC	STM14_0481	462663	462995	333
CP001363	secD	STM14_0482	463023	464870	1848
CP001363	secF	STM14_0483	464881	465852	972
CP001363	yajD	STM14_0486	467253	467600	348
CP001363	tsx	STM14_0489	468229	469197	969
CP001363	yajI	STM14_0490	469392	469931	540
CP001363	ybaD	STM14_0492	470083	470532	450
CP001363	ribD	STM14_0493	470536	471639	1104
CP001363	ribH	STM14_0494	471728	472198	471
CP001363	nusB	STM14_0495	472219	472638	420
CP001363	thiL	STM14_0496	472717	473694	978
CP001363	pgpA	STM14_0497	473672	474187	516
CP001363	yajO	STM14_0499	474291	475265	975
CP001363	dxs	STM14_0500	475322	477184	1863
CP001363	ispA	STM14_0501	477208	478107	900
CP001363	xseB	STM14_0502	478108	478350	243
CP001363	thiI	STM14_0503	478560	480008	1449
CP001363	phnV	STM14_0504	480052	480849	798
CP001363	phnU	STM14_0505	480852	481712	861
CP001363	phnT	STM14_0506	481715	482824	1110
CP001363	phnS	STM14_0507	482830	483843	1014
CP001363	phnR	STM14_0508	484041	484760	720
CP001363	phnW	STM14_0510	484900	486003	1104
CP001363	phnX	STM14_0511	486010	486822	813
CP001363	thiJ	STM14_0512	486919	487509	591
CP001363	apbA	STM14_0513	487472	488383	912
CP001363	yajQ	STM14_0514	488509	489000	492
CP001363	yajR	STM14_0515	489047	490411	1365
CP001363	cyoE	STM14_0519	494046	494936	891
CP001363	cyoD	STM14_0520	494948	495277	330
CP001363	cyoC	STM14_0521	495277	495891	615
CP001363	cyoB	STM14_0522	495881	497872	1992
CP001363	cyoA	STM14_0523	497883	498839	957
CP001363	ampG	STM14_0524	499292	500767	1476
CP001363	yajG	STM14_0525	500811	501389	579
CP001363	bolA	STM14_0527	501693	502010	318
CP001363	tig	STM14_0529	502357	503655	1299
CP001363	clpP	STM14_0530	503902	504525	624
CP001363	clpX	STM14_0532	504777	506048	1272
CP001363	lon	STM14_0533	506234	508588	2355
CP001363	hupB	STM14_0534	508797	509069	273
CP001363	cypD	STM14_0535	509360	511231	1872
CP001363	ybaV	STM14_0537	511381	511755	375
CP001363	ybaW	STM14_0538	511859	512257	399
CP001363	ybaX	STM14_0539	512363	513058	696
CP001363	ybaE	STM14_0540	513123	514823	1701
CP001363	cof	STM14_0541	514924	515742	819
CP001363	ybaO	STM14_0543	516833	517417	585
CP001363	mdlA	STM14_0544	517458	519230	1773
CP001363	mdlB	STM14_0545	519223	521004	1782
CP001363	glnK	STM14_0546	521217	521555	339
CP001363	amtB	STM14_0547	521587	522873	1287
CP001363	tesB	STM14_0548	522973	523833	861
CP001363	ybaY	STM14_0549	524048	524617	570
CP001363	ybaZ	STM14_0550	524650	525039	390
CP001363	ffs	STM14_0551	525117	525232	116
CP001363	ylaB	STM14_0552	525270	526820	1551
CP001363	rpmE2	STM14_0553	527045	527305	261
CP001363	rpmJ_1	STM14_0554	527311	527451	141
CP001363	ylaC	STM14_0555	527507	527977	471
CP001363	maa	STM14_0556	528094	528645	552
CP001363	hha	STM14_0557	528824	529042	219
CP001363	ybaJ	STM14_0558	529070	529444	375
CP001363	acrB	STM14_0559	529940	533089	3150
CP001363	acrA	STM14_0560	533112	534305	1194
CP001363	acrR	STM14_0561	534447	535100	654
CP001363	aefA	STM14_0563	535219	538581	3363
CP001363	ybaM	STM14_0565	539628	539795	168
CP001363	priC	STM14_0566	539809	540324	516
CP001363	ybaN	STM14_0567	540405	540782	378
CP001363	apt	STM14_0568	540935	541486	552
CP001363	dnaX	STM14_0569	541600	543528	1929
CP001363	ybaB	STM14_0570	543574	543903	330
CP001363	recR	STM14_0571	543903	544508	606
CP001363	htpG	STM14_0572	544595	546493	1899
CP001363	adk	STM14_0574	546734	547378	645
CP001363	hemH	STM14_0576	547607	548569	963
CP001363	aes	STM14_0577	548566	549675	1110
CP001363	gsk	STM14_0578	549690	550994	1305
CP001363	ybaL	STM14_0579	551043	552719	1677
CP001363	fsr	STM14_0581	552934	554154	1221
CP001363	ushA	STM14_0582	554327	555979	1653
CP001363	ybaK	STM14_0583	556096	556575	480
CP001363	ybaP	STM14_0584	556777	557571	795
CP001363	copA	STM14_0586	558638	561139	2502
CP001363	cueR	STM14_0587	561249	561665	417
CP001363	ybbJ	STM14_0588	561666	562118	453
CP001363	ybbK	STM14_0589	562115	563032	918
CP001363	ybbL	STM14_0590	563179	563856	678
CP001363	ybbM	STM14_0591	563843	564622	780
CP001363	ybbN	STM14_0592	564708	565562	855
CP001363	ybbO	STM14_0593	565622	566392	771
CP001363	tesA	STM14_0594	566547	567161	615
CP001363	ybbA	STM14_0595	567132	567818	687
CP001363	ybbP	STM14_0596	567815	570229	2415
CP001363	sfbA	STM14_0600	571805	572635	831
CP001363	sfbB	STM14_0601	572672	573688	1017
CP001363	sfbC	STM14_0602	573681	574340	660
CP001363	ybbB	STM14_0603	574379	575473	1095
CP001363	ybbS	STM14_0604	575543	576469	927
